"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"9JTW3NFH","journalArticle","2017","Guerra, F.M.; Bolotin, S.; Lim, G.; Heffernan, J.; Deeks, S.L.; Li, Y.; Crowcroft, N.S.","The basic reproduction number (R0) of measles: a systematic review","The Lancet Infectious Diseases","","14733099 (ISSN)","10.1016/S1473-3099(17)30307-9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85026296396&doi=10.1016%2fS1473-3099%2817%2930307-9&partnerID=40&md5=85632b48a1d5d1ff66a7fedb508de13f","The basic reproduction number, R nought (R0), is defined as the average number of secondary cases of an infectious disease arising from a typical case in a totally susceptible population, and can be estimated in populations if pre-existing immunity can be accounted for in the calculation. R0 determines the herd immunity threshold and therefore the immunisation coverage required to achieve elimination of an infectious disease. As R0 increases, higher immunisation coverage is required to achieve herd immunity. In July, 2010, a panel of experts convened by WHO concluded that measles can and should be eradicated. Despite the existence of an effective vaccine, regions have had varying success in measles control, in part because measles is one of the most contagious infections. For measles, R0 is often cited to be 12–18, which means that each person with measles would, on average, infect 12–18 other people in a totally susceptible population. We did a systematic review to find studies reporting rigorous estimates and determinants of measles R0. Studies were included if they were a primary source of R0, addressed pre-existing immunity, and accounted for pre-existing immunity in their calculation of R0. A search of key databases was done in January, 2015, and repeated in November, 2016, and yielded 10 883 unique citations. After screening for relevancy and quality, 18 studies met inclusion criteria, providing 58 R0 estimates. We calculated median measles R0 values stratified by key covariates. We found that R0 estimates vary more than the often cited range of 12–18. Our results highlight the importance of countries calculating R0 using locally derived data or, if this is not possible, using parameter estimates from similar settings. Additional data and agreed review methods are needed to strengthen the evidence base for measles elimination modelling. © 2017 Elsevier Ltd","2017","2021-11-01 22:17:10","2021-11-12 20:02:06","","e420-e428","","12","17","","","","","","","","","","","","","Scopus","","","","Publisher: Lancet Publishing Group","","; ","http://www.ncbi.nlm.nih.gov/pubmed/28757186; http://www.ncbi.nlm.nih.gov/pubmed/28757186","human; priority journal; prophylaxis; systematic review; Humans; Models, Biological; Review; Measles; disease transmission; Disease Transmission, Infectious; transmission; infection control; basic reproduction number; biological model; developed country; developing country; disease elimination; herd immunity; immunity; measles; measles vaccination; measles vaccine; population density; seroprevalence; susceptible population","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HZ853IFV","journalArticle","2020","Chen, W.; Zhang, N.; Wei, J.; Yen, H.-L.; Li, Y.","Short-range airborne route dominates exposure of respiratory infection during close contact","Building and Environment","","03601323 (ISSN)","10.1016/j.buildenv.2020.106859","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083036630&doi=10.1016%2fj.buildenv.2020.106859&partnerID=40&md5=087eb9a3d36ae046cf2e83bb250db3a5","A susceptible person experiences the highest exposure risk of respiratory infection when he or she is in close proximity with an infected person. The large droplet route has been commonly believed to be dominant for most respiratory infections since the early 20th century, and the associated droplet precaution is widely known and practiced in hospitals and in the community. The mechanism of exposure to droplets expired at close contact, however, remains surprisingly unexplored. In this study, the exposure to exhaled droplets during close contact (<2 m) via both the short-range airborne and large droplet sub-routes is studied using a simple mathematical model of expired flows and droplet dispersion/deposition/inhalation, which enables the calculation of exposure due to both deposition and inhalation. The short-range airborne route is found to dominate at most distances studied during both talking and coughing. The large droplet route only dominates when the droplets are larger than 100 μm and when the subjects are within 0.2 m while talking or 0.5 m while coughing. The smaller the exhaled droplets, the more important the short-range airborne route. The large droplet route contributes less than 10% of exposure when the droplets are smaller than 50 μm and when the subjects are more than 0.3 m apart, even while coughing. © 2020 Elsevier Ltd","2020","2021-11-01 22:17:10","2021-11-12 20:01:15","","","","","176","","","","","","","","","","","","","Scopus","","","","Publisher: Elsevier Ltd","","","","20th century; Civil engineering; Buildings; respiratory disease; Close contact; Close proximity; Disease transmission; dispersion; droplet; Droplet dispersion; Drops; Exposure; health risk; Large droplet; numerical model; Short-range airborne; twentieth century","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KUMZDDEV","journalArticle","2020","Leung, N.H.L.; Chu, D.K.W.; Shiu, E.Y.C.; Chan, K.-H.; McDevitt, J.J.; Hau, B.J.P.; Yen, H.-L.; Li, Y.; Ip, D.K.M.; Peiris, J.S.M.; Seto, W.-H.; Leung, G.M.; Milton, D.K.; Cowling, B.J.","Respiratory virus shedding in exhaled breath and efficacy of face masks","Nature Medicine","","10788956 (ISSN)","10.1038/s41591-020-0843-2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084205806&doi=10.1038%2fs41591-020-0843-2&partnerID=40&md5=8343d7ffef89108fba2ad3c514e6e317","We identified seasonal human coronaviruses, influenza viruses and rhinoviruses in exhaled breath and coughs of children and adults with acute respiratory illness. Surgical face masks significantly reduced detection of influenza virus RNA in respiratory droplets and coronavirus RNA in aerosols, with a trend toward reduced detection of coronavirus RNA in respiratory droplets. Our results indicate that surgical face masks could prevent transmission of human coronaviruses and influenza viruses from symptomatic individuals. © 2020, The Author(s), under exclusive licence to Springer Nature America, Inc.","2020","2021-11-01 22:17:09","2021-11-12 20:03:14","","676-680","","5","26","","","","","","","","","","","","","Scopus","","","","Publisher: Nature Research","","/Users/jodi/Zotero/storage/ZHTNWZ4G/Leung et al. - 2020 - Respiratory virus shedding in exhaled breath and e.pdf; /Users/jodi/Zotero/storage/AUXWECPP/Leung et al. - 2020 - Respiratory virus shedding in exhaled breath and e.pdf; /Users/jodi/Zotero/storage/4IXWASQV/s41591-020-0843-2.html; /Users/jodi/Zotero/storage/HT6HNEEI/s41591-020-0843-2.html","","adult; aged; female; human; middle aged; major clinical study; male; priority journal; throat culture; respiratory tract disease; adolescent; child; nonhuman; coughing; young adult; Article; aerosol; virus detection; exhalation; virus shedding; Coronaviridae; Influenza virus; nose smear; Rhinovirus; virus load","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"F39WNT9K","journalArticle","2020","Richard, M.; Kok, A.; de Meulder, D.; Bestebroer, T.M.; Lamers, M.M.; Okba, N.M.A.; Fentener van Vlissingen, M.; Rockx, B.; Haagmans, B.L.; Koopmans, M.P.G.; Fouchier, R.A.M.; Herfst, S.","SARS-CoV-2 is transmitted via contact and via the air between ferrets","Nature Communications","","20411723 (ISSN)","10.1038/s41467-020-17367-2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85087687271&doi=10.1038%2fs41467-020-17367-2&partnerID=40&md5=0b7a720c1a9096a849fefa1ce7cf4c97","SARS-CoV-2, a coronavirus that emerged in late 2019, has spread rapidly worldwide, and information about the modes of transmission of SARS-CoV-2 among humans is critical to apply appropriate infection control measures and to slow its spread. Here we show that SARS-CoV-2 is transmitted efficiently via direct contact and via the air (via respiratory droplets and/or aerosols) between ferrets, 1 to 3 days and 3 to 7 days after exposure respectively. The pattern of virus shedding in the direct contact and indirect recipient ferrets is similar to that of the inoculated ferrets and infectious virus is isolated from all positive animals, showing that ferrets are productively infected via either route. This study provides experimental evidence of robust transmission of SARS-CoV-2 via the air, supporting the implementation of community-level social distancing measures currently applied in many countries in the world and informing decisions on infection control measures in healthcare settings. © 2020, The Author(s).","2020","2021-11-01 22:17:09","2021-11-12 20:05:23","","","","1","11","","","","","","","","","","","","","Scopus","","","","Publisher: Nature Research","","/Users/jodi/Zotero/storage/GQD2P3SG/Richard et al. - 2020 - SARS-CoV-2 is transmitted via contact and via the .pdf; /Users/jodi/Zotero/storage/RQZ45AZJ/Richard et al. - 2020 - SARS-CoV-2 is transmitted via contact and via the .pdf; /Users/jodi/Zotero/storage/CKSVPNVN/s41467-020-17367-2.html; /Users/jodi/Zotero/storage/NGF94IS9/s41467-020-17367-2.html","","adult; article; human; controlled study; disease model; nonhuman; disease control; rectum; genetics; Humans; Animals; Pandemics; Pneumonia, Viral; Betacoronavirus; Coronavirus Infections; Coronavirus; Antibodies, Viral; Disease Models, Animal; pandemic; Animalia; experimental study; virus; Respiratory System; aerosol; Coronavirus infection; isolation and purification; Severe acute respiratory syndrome coronavirus 2; virology; virus genome; virus pneumonia; infection control; animal; blood; virus antibody; virus shedding; Virus Shedding; Ferrets; Genome, Viral; immunology; Mustela; Mustela putorius furo; parasite transmission; physiology; Rectum; respiratory system; SARS coronavirus; sequence analysis; Sequence Analysis, RNA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Q223DZZ9","journalArticle","2020","Shi, H.; Han, X.; Jiang, N.; Cao, Y.; Alwalid, O.; Gu, J.; Fan, Y.; Zheng, C.","Radiological findings from 81 patients with COVID-19 pneumonia in Wuhan, China: a descriptive study","The Lancet Infectious Diseases","","14733099 (ISSN)","10.1016/S1473-3099(20)30086-4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85082024690&doi=10.1016%2fS1473-3099%2820%2930086-4&partnerID=40&md5=c8d95aec59e648997540935730072ea9","Background: A cluster of patients with coronavirus disease 2019 (COVID-19) pneumonia caused by infection with severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) were successively reported in Wuhan, China. We aimed to describe the CT findings across different timepoints throughout the disease course. Methods: Patients with COVID-19 pneumonia (confirmed by next-generation sequencing or RT-PCR) who were admitted to one of two hospitals in Wuhan and who underwent serial chest CT scans were retrospectively enrolled. Patients were grouped on the basis of the interval between symptom onset and the first CT scan: group 1 (subclinical patients; scans done before symptom onset), group 2 (scans done ≤1 week after symptom onset), group 3 (>1 week to 2 weeks), and group 4 (>2 weeks to 3 weeks). Imaging features and their distribution were analysed and compared across the four groups. Findings: 81 patients admitted to hospital between Dec 20, 2019, and Jan 23, 2020, were retrospectively enrolled. The cohort included 42 (52%) men and 39 (48%) women, and the mean age was 49·5 years (SD 11·0). The mean number of involved lung segments was 10·5 (SD 6·4) overall, 2·8 (3·3) in group 1, 11·1 (5·4) in group 2, 13·0 (5·7) in group 3, and 12·1 (5·9) in group 4. The predominant pattern of abnormality observed was bilateral (64 [79%] patients), peripheral (44 [54%]), ill-defined (66 [81%]), and ground-glass opacification (53 [65%]), mainly involving the right lower lobes (225 [27%] of 849 affected segments). In group 1 (n=15), the predominant pattern was unilateral (nine [60%]) and multifocal (eight [53%]) ground-glass opacities (14 [93%]). Lesions quickly evolved to bilateral (19 [90%]), diffuse (11 [52%]) ground-glass opacity predominance (17 [81%]) in group 2 (n=21). Thereafter, the prevalence of ground-glass opacities continued to decrease (17 [57%] of 30 patients in group 3, and five [33%] of 15 in group 4), and consolidation and mixed patterns became more frequent (12 [40%] in group 3, eight [53%] in group 4). Interpretation: COVID-19 pneumonia manifests with chest CT imaging abnormalities, even in asymptomatic patients, with rapid evolution from focal unilateral to diffuse bilateral ground-glass opacities that progressed to or co-existed with consolidations within 1–3 weeks. Combining assessment of imaging features with clinical and laboratory findings could facilitate early diagnosis of COVID-19 pneumonia. Funding: None. © 2020 Elsevier Ltd","2020","2021-11-01 22:17:09","2021-11-12 20:06:31","","425-434","","4","20","","","","","","","","","","","","","Scopus","","","","Publisher: Lancet Publishing Group","","/Users/jodi/Zotero/storage/97FE8JMI/Shi et al. - 2020 - Radiological findings from 81 patients with COVID-.pdf; /Users/jodi/Zotero/storage/XFDKMMSQ/Shi et al. - 2020 - Radiological findings from 81 patients with COVID-.pdf; /Users/jodi/Zotero/storage/45DG8PCX/S1473309920300864.html; /Users/jodi/Zotero/storage/9UF4NX8M/S1473309920300864.html","","adult; aged; female; human; middle aged; comorbidity; major clinical study; male; priority journal; thorax radiography; retrospective study; disease course; clinical feature; x-ray computed tomography; laboratory test; complication; leukocytosis; C reactive protein; Humans; Male; Adult; Female; Aged; Middle Aged; pleura effusion; China; Lung; Pandemics; Pneumonia, Viral; Tomography, X-Ray Computed; Betacoronavirus; Coronavirus Infections; pandemic; Article; coronavirus disease 2019; Coronavirus infection; virology; virus pneumonia; blood; physiology; asymptomatic infection; Coronavirinae; digital imaging and communications in medicine; early diagnosis; lung; lymphocytosis; pathology; serum amyloid A; severe acute respiratory syndrome coronavirus 2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RZH7U3F8","journalArticle","2020","Jarvis, C.I.; Van Zandvoort, K.; Gimma, A.; Prem, K.; Auzenbergs, M.; O'Reilly, K.; Medley, G.; Emery, J.C.; Houben, R.M.G.J.; Davies, N.; Nightingale, E.S.; Flasche, S.; Jombart, T.; Hellewell, J.; Abbott, S.; Munday, J.D.; Bosse, N.I.; Funk, S.; Sun, F.; Endo, A.; Rosello, A.; Procter, S.R.; Kucharski, A.J.; Russell, T.W.; Knight, G.; Gibbs, H.; Leclerc, Q.; Quilty, B.J.; Diamond, C.; Liu, Y.; Jit, M.; Clifford, S.; Pearson, C.A.B.; Eggo, R.M.; Deol, A.K.; Klepac, P.; Rubin, G.J.; Edmunds, W.J.","Quantifying the impact of physical distance measures on the transmission of COVID-19 in the UK","BMC Medicine","","17417015 (ISSN)","10.1186/s12916-020-01597-8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084381270&doi=10.1186%2fs12916-020-01597-8&partnerID=40&md5=c26f6424c07e5bb9c0dbb63404f2633c","Background: To mitigate and slow the spread of COVID-19, many countries have adopted unprecedented physical distancing policies, including the UK. We evaluate whether these measures might be sufficient to control the epidemic by estimating their impact on the reproduction number (R 0, the average number of secondary cases generated per case). Methods: We asked a representative sample of UK adults about their contact patterns on the previous day. The questionnaire was conducted online via email recruitment and documents the age and location of contacts and a measure of their intimacy (whether physical contact was made or not). In addition, we asked about adherence to different physical distancing measures. The first surveys were sent on Tuesday, 24 March, 1 day after a ""lockdown"" was implemented across the UK. We compared measured contact patterns during the ""lockdown"" to patterns of social contact made during a non-epidemic period. By comparing these, we estimated the change in reproduction number as a consequence of the physical distancing measures imposed. We used a meta-analysis of published estimates to inform our estimates of the reproduction number before interventions were put in place. Results: We found a 74% reduction in the average daily number of contacts observed per participant (from 10.8 to 2.8). This would be sufficient to reduce R 0 from 2.6 prior to lockdown to 0.62 (95% confidence interval [CI] 0.37-0.89) after the lockdown, based on all types of contact and 0.37 (95% CI = 0.22-0.53) for physical (skin to skin) contacts only. Conclusions: The physical distancing measures adopted by the UK public have substantially reduced contact levels and will likely lead to a substantial impact and a decline in cases in the coming weeks. However, this projected decline in incidence will not occur immediately as there are significant delays between infection, the onset of symptomatic disease, and hospitalisation, as well as further delays to these events being reported. Tracking behavioural change can give a more rapid assessment of the impact of physical distancing measures than routine epidemiological surveillance. © 2020 The Author(s).","2020","2021-11-01 22:17:08","2021-11-12 20:02:27","","","","1","18","","","","","","","","","","","","","Scopus","","","","Publisher: BioMed Central Ltd.","","/Users/jodi/Zotero/storage/JH57Q6G9/Jarvis et al. - 2020 - Quantifying the impact of physical distance measur.pdf; /Users/jodi/Zotero/storage/FB9QZVI2/Jarvis et al. - 2020 - Quantifying the impact of physical distance measur.pdf; /Users/jodi/Zotero/storage/NQ7NQNI2/s12916-020-01597-8.html; /Users/jodi/Zotero/storage/C24RIDRP/s12916-020-01597-8.html","","adult; aged; female; human; middle aged; male; incidence; quantitative analysis; questionnaire; child; demography; daily life activity; normal human; young adult; epidemic; age; United Kingdom; e-mail; health care policy; human experiment; Humans; Adult; Surveys and Questionnaires; Incidence; COVID-19; Pandemics; Pneumonia, Viral; Betacoronavirus; Coronavirus Infections; Contact Tracing; Epidemics; Social Isolation; pandemic; disease transmission; Activities of Daily Living; Pandemic; Article; Models, Theoretical; Contact survey; Disease outbreak; nCov; Reproduction number; coronavirus disease 2019; Coronavirus infection; virus pneumonia; infection control; social isolation; basic reproduction number; Basic Reproduction Number; contact examination; Health Policy; human relation; Interpersonal Relations; online system; preschool child; school child; social distance; theoretical model","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9DWQW49E","journalArticle","2020","Inglesby, T.V.","Public Health Measures and the Reproduction Number of SARS-CoV-2","JAMA - Journal of the American Medical Association","","00987484 (ISSN)","10.1001/jama.2020.7878","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084320421&doi=10.1001%2fjama.2020.7878&partnerID=40&md5=0d8f687c3f91ad25c2b2bfdb9d18ef7f","","2020","2021-11-01 22:17:08","2021-11-12 20:02:24","","2186-2187","","21","323","","","","","","","","","","","","","Scopus","","","","Publisher: American Medical Association","","","","human; social interaction; priority journal; symptom; nonhuman; epidemiological data; influenza; epidemic; public health; politics; health survey; public health service; infection prevention; Humans; Public Health; vaccination; economic aspect; Time Factors; Review; China; Pandemics; Pneumonia, Viral; Betacoronavirus; Coronavirus Infections; Social Isolation; procedures; pandemic; time factor; coronavirus disease 2019; Coronavirus infection; Severe acute respiratory syndrome coronavirus 2; virus pneumonia; infection control; quarantine; social isolation; virus transmission; patient isolation; program effectiveness","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BMPKBJ4S","journalArticle","2020","Fears, A.C.; Klimstra, W.B.; Duprex, P.; Hartman, A.; Weaver, S.C.; Plante, K.S.; Mirchandani, D.; Plante, J.A.; Aguilar, P.V.; Fernández, D.; Nalca, A.; Totura, A.; Dyer, D.; Kearney, B.; Lackemeyer, M.; Bohannon, J.K.; Johnson, R.; Garry, R.F.; Reed, D.S.; Roy, C.J.","Persistence of Severe Acute Respiratory Syndrome Coronavirus 2 in Aerosol Suspensions","Emerging Infectious Diseases","","10806059 (ISSN)","10.3201/eid2609.201806","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85089176980&doi=10.3201%2feid2609.201806&partnerID=40&md5=2fcb5a99d4d10efe94d331de7edc63dc","We aerosolized severe acute respiratory syndrome coronavirus 2 and determined that its dynamic aerosol efficiency surpassed those of severe acute respiratory syndrome coronavirus and Middle East respiratory syndrome. Although we performed experiment only once across several laboratories, our findings suggest retained infectivity and virion integrity for up to 16 hours in respirable-sized aerosols.","2020","2021-11-01 22:17:07","2021-11-18 17:24:04","","","","9","26","","","","","","","","","","","","","Scopus","","","","Publisher: NLM (Medline)","","","","human; Humans; COVID-19; Pandemics; Pneumonia, Viral; Betacoronavirus; Coronavirus Infections; Middle East Respiratory Syndrome Coronavirus; SARS-CoV-2; pandemic; disease transmission; viruses; Aerosols; Disease Transmission, Infectious; MERS-CoV; SARS-CoV; aerosol; Coronavirus infection; isolation and purification; virology; virus pneumonia; severe acute respiratory syndrome coronavirus 2; 2019 novel coronavirus disease; coronavirus diseases; Middle East respiratory syndrome coronavirus; respiratory diseases; severe acute respiratory syndrome coronavirus; suspension; Suspensions; zoonoses","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"M8FF8CH3","journalArticle","2008","DeDiego, M.L.; Pewe, L.; Alvarez, E.; Rejas, M.T.; Perlman, S.; Enjuanes, L.","Pathogenicity of severe acute respiratory coronavirus deletion mutants in hACE-2 transgenic mice","Virology","","00426822 (ISSN)","10.1016/j.virol.2008.03.005","https://www.scopus.com/inward/record.uri?eid=2-s2.0-44649132470&doi=10.1016%2fj.virol.2008.03.005&partnerID=40&md5=ec1aeb6274e6ee04708c7f59b51c41a5","Recombinant severe acute respiratory virus (SARS-CoV) variants lacking the group specific genes 6, 7a, 7b, 8a, 8b and 9b (rSARS-CoV-Δ[6-9b]), the structural gene E (rSARS-CoV-ΔE), and a combination of both sets of genes (rSARS-CoV-Δ[E,6-9b]) have been generated. All these viruses were rescued in monkey (Vero E6) cells and were also infectious for human (Huh-7, Huh7.5.1 and CaCo-2) cell lines and for transgenic (Tg) mice expressing the SARS-CoV receptor human angiotensin converting enzyme-2 (hACE-2), indicating that none of these proteins is essential for the viral cycle. Furthermore, in Vero E6 cells, all the viruses showed the formation of particles with the same morphology as the wt virus, indicating that these proteins do not have a high impact in the final morphology of the virions. Nevertheless, in the absence of E protein, release of virus particles efficacy was reduced. Viruses lacking E protein grew about 100-fold lower than the wt virus in lungs of Tg infected mice but did not grow in the brains of the same animals, in contrast to the rSARS-CoV-Δ[6-9b] virus, which grew almost as well as the wt in both tissues. Viruses lacking E protein were highly attenuated in the highly sensitive hACE-2 Tg mice, in contrast to the minimal rSARS-CoV-Δ[6-9b] and wt viruses. These data indicate that E gene might be a virulence factor influencing replication level, tissue tropism and pathogenicity of SARS-CoV, suggesting that ΔE attenuated viruses are promising vaccine candidates. © 2008 Elsevier Inc. All rights reserved.","2008","2021-11-01 22:17:06","2021-11-12 20:01:40","","379-389","","2","376","","","","","","","","","","","","","Scopus","","","","","","/Users/jodi/Zotero/storage/VZMT3CVF/Dediego et al. - 2008 - Pathogenicity of severe acute respiratory coronavi.pdf; /Users/jodi/Zotero/storage/P8V3HVE3/Dediego et al. - 2008 - Pathogenicity of severe acute respiratory coronavi.pdf; ; ","http://www.ncbi.nlm.nih.gov/pubmed/18452964; http://www.ncbi.nlm.nih.gov/pubmed/18452964","article; human; priority journal; controlled study; immunohistochemistry; nonhuman; protein expression; Humans; Mice; Animals; Mice, Inbred C57BL; Mice, Transgenic; Transcription Factors; Peptidyl-Dipeptidase A; Coronavirus; SARS Virus; Animalia; Severe Acute Respiratory Syndrome; SARS-CoV; Virulence; Cell Line; DNA-Binding Proteins; Gene Deletion; Virulence Factors; animal cell; SARS coronavirus; angiotensin converting enzyme 2; animal experiment; animal model; Cercopithecine herpesvirus 1; defective virus; gene structure; hACE-2 transgenic mice; human cell; immunopathology; monkey; morphogenesis; mouse; Mus; Mus musculus; pathogenicity; protein 6; protein 7a; protein 7b; protein 8a; protein 8b; protein 9b; protein e; severe acute respiratory syndrome; transgenic mouse; virion; virus particle; virus protein; virus receptor; virus replication","Angiotensin-Converting Enzyme 2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BP4R42W7","journalArticle","2020","Sia, S.F.; Yan, L.-M.; Chin, A.W.H.; Fung, K.; Choy, K.-T.; Wong, A.Y.L.; Kaewpreedee, P.; Perera, R.A.P.M.; Poon, L.L.M.; Nicholls, J.M.; Peiris, M.; Yen, H.-L.","Pathogenesis and transmission of SARS-CoV-2 in golden hamsters","Nature","","00280836 (ISSN)","10.1038/s41586-020-2342-5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084651203&doi=10.1038%2fs41586-020-2342-5&partnerID=40&md5=4b39c4d4433a3ed2dd7c94c70ce3f486","Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2), a novel coronavirus with high nucleotide identity to SARS-CoV and to SARS-related coronaviruses that have been detected in horseshoe bats, has spread across the world and had a global effect on healthcare systems and economies1,2. A suitable small animal model is needed to support the development of vaccines and therapies. Here we report the pathogenesis and transmissibility of SARS-CoV-2 in golden (Syrian) hamsters (Mesocricetus auratus). Immunohistochemistry assay demonstrated the presence of viral antigens in nasal mucosa, bronchial epithelial cells and areas of lung consolidation on days 2 and 5 after inoculation with SARS-CoV-2, followed by rapid viral clearance and pneumocyte hyperplasia at 7 days after inoculation. We also found viral antigens in epithelial cells of the duodenum, and detected viral RNA in faeces. Notably, SARS-CoV-2 was transmitted efficiently from inoculated hamsters to naive hamsters by direct contact and via aerosols. Transmission via fomites in soiled cages was not as efficient. Although viral RNA was continuously detected in the nasal washes of inoculated hamsters for 14 days, the communicable period was short and correlated with the detection of infectious virus but not viral RNA. Inoculated and naturally infected hamsters showed apparent weight loss on days 6–7 post-inoculation or post-contact; all hamsters returned to their original weight within 14 days and developed neutralizing antibodies. Our results suggest that features associated with SARS-CoV-2 infection in golden hamsters resemble those found in humans with mild SARS-CoV-2 infections. © 2020, The Author(s), under exclusive licence to Springer Nature Limited.","2020","2021-11-01 22:17:06","2021-11-12 20:06:37","","834-838","","7818","583","","","","","","","","","","","","","Scopus","","","","Publisher: Nature Research","","","","male; priority journal; controlled study; disease model; immunohistochemistry; nonhuman; body weight loss; metabolism; pathogenesis; Male; Animals; Weight Loss; Lung; Kidney; Pandemics; Pneumonia, Viral; Betacoronavirus; Coronavirus Infections; Coronavirus; Antibodies, Viral; Disease Models, Animal; pandemic; RNA; Article; Animalia; virus; Aerosols; Antibodies, Neutralizing; RNA, Viral; aerosol; animal cell; coronavirus disease 2019; Coronavirus infection; isolation and purification; Severe acute respiratory syndrome coronavirus 2; virology; virus pneumonia; virus RNA; virus transmission; animal; virus antibody; fomite; Fomites; Nasal Mucosa; virus load; immunology; SARS coronavirus; lung; pathology; animal experiment; animal model; pathogenicity; Alveolar Epithelial Cells; animal housing; animal tissue; antibody; Antigens, Viral; Bronchi; bronchus; bronchus epithelium; cell; cell hyperplasia; Cricetinae; detection method; duodenum; Duodenum; feces analysis; Housing, Animal; infectivity; inoculation; kidney; lung alveolus cell; lung alveolus epithelium cell; Mesocricetus; Mesocricetus auratus; nasal lavage fluid; neutralizing antibody; nose mucosa; Rhinolophus; rodent; Syrian hamster; viral clearance; Viral Load; virus antigen","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
